time_tag,satellite,flux,energy
2023-04-02 00:45:00+00:00,18,19.832725524902344,1000-1900 keV
2023-04-02 00:50:00+00:00,18,23.402921676635746,1000-1900 keV
2023-04-02 00:55:00+00:00,18,23.28094291687012,1000-1900 keV
2023-04-02 01:00:00+00:00,18,28.240896224975582,1000-1900 keV
2023-04-02 01:05:00+00:00,18,15.227580070495604,1000-1900 keV
2023-04-02 01:10:00+00:00,18,18.94029235839844,1000-1900 keV
2023-04-02 01:15:00+00:00,18,25.347396850585938,1000-1900 keV
2023-04-02 01:20:00+00:00,18,30.919586181640625,1000-1900 keV
2023-04-02 01:25:00+00:00,18,20.52285385131836,1000-1900 keV
2023-04-02 01:30:00+00:00,18,10.321966171264648,1000-1900 keV
2023-04-02 01:35:00+00:00,18,13.83347988128662,1000-1900 keV
2023-04-02 01:40:00+00:00,18,11.91728687286377,1000-1900 keV
2023-04-02 01:45:00+00:00,18,17.531578063964844,1000-1900 keV
2023-04-02 01:50:00+00:00,18,25.173110961914062,1000-1900 keV
2023-04-02 01:55:00+00:00,18,26.78559684753418,1000-1900 keV
2023-04-02 02:00:00+00:00,18,30.827455520629883,1000-1900 keV
2023-04-02 02:05:00+00:00,18,31.11165809631348,1000-1900 keV
2023-04-02 02:10:00+00:00,18,28.71005249023437,1000-1900 keV
2023-04-02 02:15:00+00:00,18,24.663536071777344,1000-1900 keV
2023-04-02 02:20:00+00:00,18,28.641969680786133,1000-1900 keV
2023-04-02 02:25:00+00:00,18,31.906641006469727,1000-1900 keV
2023-04-02 02:30:00+00:00,18,32.73917007446289,1000-1900 keV
2023-04-02 02:35:00+00:00,18,29.51890563964844,1000-1900 keV
2023-04-02 02:40:00+00:00,18,26.81772994995117,1000-1900 keV
2023-04-02 02:45:00+00:00,18,23.30292320251465,1000-1900 keV
2023-04-02 02:50:00+00:00,18,20.59499740600586,1000-1900 keV
2023-04-02 02:55:00+00:00,18,18.950368881225582,1000-1900 keV
2023-04-02 03:00:00+00:00,18,17.931079864501953,1000-1900 keV
2023-04-02 03:05:00+00:00,18,14.59549045562744,1000-1900 keV
2023-04-02 03:10:00+00:00,18,14.127943992614746,1000-1900 keV
2023-04-02 03:15:00+00:00,18,11.504825592041016,1000-1900 keV
2023-04-02 03:20:00+00:00,18,14.173028945922852,1000-1900 keV
2023-04-02 03:25:00+00:00,18,13.288042068481444,1000-1900 keV
2023-04-02 03:30:00+00:00,18,9.134360313415527,1000-1900 keV
2023-04-02 03:35:00+00:00,18,9.036553382873535,1000-1900 keV
2023-04-02 03:40:00+00:00,18,8.326614379882812,1000-1900 keV
2023-04-02 03:45:00+00:00,18,5.591917037963867,1000-1900 keV
2023-04-02 03:50:00+00:00,18,4.785885810852051,1000-1900 keV
2023-04-02 03:55:00+00:00,18,4.384018898010254,1000-1900 keV
2023-04-02 04:00:00+00:00,18,4.308260917663574,1000-1900 keV
2023-04-02 04:05:00+00:00,18,7.368827342987059,1000-1900 keV
2023-04-02 04:10:00+00:00,18,8.144439697265625,1000-1900 keV
2023-04-02 04:15:00+00:00,18,11.361774444580078,1000-1900 keV
2023-04-02 04:20:00+00:00,18,14.512971878051758,1000-1900 keV
2023-04-02 04:25:00+00:00,18,12.801116943359377,1000-1900 keV
2023-04-02 04:30:00+00:00,18,11.854219436645508,1000-1900 keV
2023-04-02 04:35:00+00:00,18,11.162508010864258,1000-1900 keV
2023-04-02 04:40:00+00:00,18,10.098230361938477,1000-1900 keV
2023-04-02 04:45:00+00:00,18,8.965208053588867,1000-1900 keV
2023-04-02 04:50:00+00:00,18,9.769420623779297,1000-1900 keV
2023-04-02 04:55:00+00:00,18,8.178569793701172,1000-1900 keV
2023-04-02 05:00:00+00:00,18,9.453429222106934,1000-1900 keV
2023-04-02 05:05:00+00:00,18,8.89338493347168,1000-1900 keV
2023-04-02 05:10:00+00:00,18,9.606048583984377,1000-1900 keV
2023-04-02 05:15:00+00:00,18,8.89854621887207,1000-1900 keV
